[2026-04-18 20:53:03] === Monitor started ===
[2026-04-18 20:53:03] Watching jobs: FC=4073, FC+GSR=4074, EC=4075
[2026-04-18 20:58:11] FC still running (18:31), relmat subjects: 8/33
[2026-04-18 21:03:12] FC still running (23:32), relmat subjects: 8/33
[2026-04-18 21:08:13] FC still running (28:33), relmat subjects: 8/33
[2026-04-18 21:13:14] FC still running (33:34), relmat subjects: 8/33
[2026-04-18 21:18:15] FC still running (38:35), relmat subjects: 8/33
[2026-04-18 21:23:16] FC still running (43:36), relmat subjects: 8/33
[2026-04-18 21:28:17] FC still running (48:37), relmat subjects: 8/33
[2026-04-18 21:33:18] FC still running (53:37), relmat subjects: 8/33
[2026-04-18 21:38:19] FC still running (58:38), relmat subjects: 8/33
[2026-04-18 21:43:20] FC still running (1:03:39), relmat subjects: 8/33
[2026-04-18 21:48:21] FC still running (1:08:40), relmat subjects: 8/33
[2026-04-18 21:53:22] FC still running (1:13:41), relmat subjects: 8/33
[2026-04-18 21:58:23] FC still running (1:18:42), relmat subjects: 8/33
[2026-04-18 22:03:23] FC still running (1:23:43), relmat subjects: 8/33
[2026-04-18 22:08:24] FC still running (1:28:44), relmat subjects: 8/33
[2026-04-18 22:13:25] FC still running (1:33:45), relmat subjects: 8/33
[2026-04-18 22:18:26] FC still running (1:38:46), relmat subjects: 8/33
[2026-04-18 22:23:27] FC still running (1:43:47), relmat subjects: 8/33
[2026-04-18 22:28:28] FC still running (1:48:48), relmat subjects: 8/33
[2026-04-18 22:33:29] FC still running (1:53:49), relmat subjects: 8/33
[2026-04-18 22:38:30] FC still running (1:58:49), relmat subjects: 8/33
[2026-04-18 22:43:31] FC still running (2:03:50), relmat subjects: 8/33
[2026-04-18 22:48:32] FC still running (2:08:51), relmat subjects: 8/33
[2026-04-18 22:53:33] FC still running (2:13:52), relmat subjects: 8/33
[2026-04-18 22:58:34] FC still running (2:18:53), relmat subjects: 8/33
[2026-04-18 23:03:35] FC still running (2:23:54), relmat subjects: 8/33
[2026-04-18 23:08:35] FC still running (2:28:55), relmat subjects: 8/33
[2026-04-18 23:13:36] FC still running (2:33:56), relmat subjects: 8/33
[2026-04-18 23:18:37] FC still running (2:38:57), relmat subjects: 8/33
[2026-04-18 23:23:38] FC still running (2:43:58), relmat subjects: 8/33
[2026-04-18 23:28:39] FC still running (2:48:59), relmat subjects: 8/33
[2026-04-18 23:33:40] FC still running (2:53:59), relmat subjects: 8/33
[2026-04-18 23:38:41] FC still running (2:59:00), relmat subjects: 8/33
[2026-04-18 23:43:42] FC still running (3:04:01), relmat subjects: 8/33
[2026-04-18 23:48:43] FC still running (3:09:02), relmat subjects: 8/33
[2026-04-18 23:53:43] FC still running (3:14:03), relmat subjects: 8/33
[2026-04-18 23:58:44] FC still running (3:19:04), relmat subjects: 8/33
[2026-04-19 00:03:45] FC still running (3:24:05), relmat subjects: 8/33
[2026-04-19 00:08:46] FC still running (3:29:06), relmat subjects: 8/33
[2026-04-19 00:13:47] FC still running (3:34:07), relmat subjects: 8/33
[2026-04-19 00:18:48] FC still running (3:39:08), relmat subjects: 8/33
[2026-04-19 00:23:49] FC still running (3:44:08), relmat subjects: 8/33
[2026-04-19 00:28:50] FC still running (3:49:09), relmat subjects: 8/33
[2026-04-19 00:33:51] FC still running (3:54:10), relmat subjects: 8/33
[2026-04-19 00:38:52] FC still running (3:59:11), relmat subjects: 8/33
[2026-04-19 00:43:53] FC still running (4:04:12), relmat subjects: 8/33
[2026-04-19 00:48:53] FC still running (4:09:13), relmat subjects: 8/33
